user_id,age_group,gender,primary_platform,platforms_used,daily_usage_hours,posts_per_week,stories_per_week,likes_received_weekly,comments_received_weekly,followers_count,following_count,late_night_hours,morning_check_hours,comparison_content_pct,news_content_pct,entertainment_content_pct,avg_session_duration_min,sessions_per_day,notifications_per_day,fomo_score,engagement_ratio,follower_following_ratio,usage_intensity,late_night_pct,depression_score,anxiety_score,self_esteem_score,sleep_quality_score,life_satisfaction,loneliness_score,stress_level,body_image_score,seeks_validation_frequency,compares_to_others_frequency,has_taken_break,cyberbullying_experienced,professional_help_seeking,support_system_rating,physical_activity_hours_week,face_to_face_social_hours_week,depression_severity,anxiety_severity,sleep_quality_category,mental_health_composite
USER0016,25-34,Non-binary,Twitter,4.0,4.55,11.0,23.0,204.0,20.0,1207.0,78.0,1.28,0.5,13.9,5.9,80.2,66.6,6.0,184.0,5.0,0.1688741721854304,15.278481012658228,27.3,28.13186813186813,21.5,9.8,37.6,6.0,5.3,59.8,25.1,7.0,Sometimes,Always,Yes,No,No,1.6,4.4,12.8,Severe,Moderate,Moderate,16.428571428571427
USER0017,18-24,Male,YouTube,3.0,7.57,16.0,47.0,352.0,32.0,4034.0,65.0,3.24,0.11,15.8,6.6,77.6,28.1,5.0,157.0,8.3,0.0872366790582404,61.121212121212125,37.85,42.80052840158521,16.7,11.8,31.5,9.9,9.1,51.5,0.1,3.8,Always,Often,No,No,Yes,5.9,1.2,16.4,Moderately Severe,Moderate,Moderate,21.24285714285714
USER0018,18-24,Male,YouTube,5.0,6.17,6.0,17.0,30.0,6.0,114.0,105.0,2.39,0.55,52.8,28.1,19.1,85.8,26.0,134.0,8.2,0.2608695652173913,1.0754716981132075,160.42,38.73581847649919,11.7,9.9,33.7,13.9,5.0,70.2,34.4,9.5,Rarely,Never,Yes,No,Yes,7.5,8.4,8.2,Moderate,Moderate,Poor,13.228571428571428
USER0019,25-34,Male,Twitter,5.0,4.57,5.0,12.0,135.0,19.0,171.0,101.0,1.35,0.86,11.2,33.5,55.3,51.150000000000006,28.0,27.0,4.8,0.7848837209302325,1.6764705882352942,127.96,29.540481400437635,19.4,5.4,20.0,8.4,8.0,55.8,14.3,4.9,Rarely,Always,No,No,No,4.8,0.3,19.0,Severe,Mild,Moderate,17.38571428571429
USER0020,55+,Male,Facebook,2.0,0.77,2.0,5.0,38.0,5.0,4.0,27.0,36.04893708322723,0.41,56.5,35.0,8.4,32.9,14.0,116.0,5.5,7.6,0.1428571428571428,10.78,4681.680140678861,24.4,16.9,39.4,2.9,3.0,22.1,16.1,3.6,Always,Always,Yes,No,Yes,2.2,7.5,24.4,Severe,Severe,Good,21.714285714285715
USER0021,18-24,Female,Snapchat,4.0,8.48,8.0,21.0,107.0,15.0,43.0,7647.0,2.84,0.36,26.4,28.5,45.0,23.5,28.0,195.0,10.0,2.4318181818181817,0.0056223849372384,237.44,33.490566037735846,20.7,5.3,16.6,15.7,3.5,30.0,21.9,6.0,Always,Always,No,Yes,No,3.8,8.6,1.3,Severe,Mild,Poor,17.0
USER0022,13-17,Female,Twitter,3.0,7.44,6.0,10.0,207.0,13.0,506.0,2819.0,1.71,0.18,45.0,7.5,47.4,53.5,10.0,124.0,8.8,0.408284023668639,0.1794326241134752,74.4,22.983870967741936,20.6,11.7,31.0,9.4,5.3,32.7,8.7,6.0,Always,Never,No,No,No,3.1,2.0,7.9,Severe,Moderate,Moderate,21.071428571428573
USER0023,45-54,Male,Instagram,3.0,2.89,24.0,62.0,227.0,28.0,2253.0,6.0,1.37,0.2,34.6,5.4,60.0,51.150000000000006,25.0,153.0,7.1,0.1007098491570541,321.85714285714283,72.25,47.40484429065744,25.2,17.4,14.2,1.0,1.8,61.2,17.2,6.6,Always,Never,No,No,No,8.0,10.7,16.7,Severe,Severe,Good,12.114285714285714
USER0024,18-24,Female,Instagram,2.0,5.87,3.0,5.0,138.0,9.0,170.0,1436.0,2.92,0.17,37.7,38.9,23.4,37.1,29.0,145.0,5.5,0.8070175438596491,0.1183020180932498,170.23,49.74446337308348,13.4,10.3,23.0,7.3,7.3,66.7,11.9,1.4,Sometimes,Always,No,No,No,3.3,1.2,27.5,Moderate,Moderate,Moderate,16.714285714285715
USER0025,35-44,Prefer not to say,Twitter,3.0,2.2,13.0,20.0,198.0,15.0,1045.0,184.0,0.67,0.63,13.9,39.1,47.0,36.0,15.0,128.0,3.4,0.1892925430210325,5.648648648648648,33.0,30.454545454545457,10.7,16.0,11.8,16.0,2.1,77.3,1.5,3.6,Often,Always,Yes,No,No,5.8,2.0,15.2,Moderate,Severe,Poor,11.928571428571429
USER0027,25-34,Male,Instagram,4.0,4.279999999999999,4.0,7.0,61.0,8.0,132.0,3748.0,1.87,0.86,22.4,20.8,56.9,30.5,26.0,156.0,1.4,0.4586466165413533,0.0352093891704454,111.28,43.69158878504674,17.4,6.9,28.4,4.5,2.0,61.1,32.7,3.4,Never,Often,No,No,No,5.2,4.0,8.5,Moderately Severe,Mild,Good,14.114285714285714
USER0028,18-24,Female,TikTok,5.0,6.49,8.0,12.0,168.0,13.0,48.0,23639.0,2.12,0.81,42.0,33.2,24.9,41.3,19.0,90.0,4.9,3.4285714285714284,0.0020304568527918,123.31,32.665639445300464,17.5,4.4,37.9,5.7,4.0,49.3,27.7,6.3,Sometimes,Often,No,Yes,No,4.0,13.7,4.1,Moderately Severe,Mild,Moderate,18.61428571428572
USER0029,45-54,Female,Facebook,3.0,2.09,2.0,3.0,26.0,3.0,432.0,172.0,0.95,0.79,13.3,6.6,80.1,62.5,11.0,33.0,2.2,0.0600461893764434,2.4971098265895955,22.99,45.45454545454545,21.4,13.4,20.7,1.7,6.4,50.1,24.2,7.6,Rarely,Never,No,No,No,4.1,11.0,28.0,Severe,Moderate,Good,15.957142857142856
USER0030,13-17,Male,Twitter,5.0,3.69,7.0,14.0,297.0,25.0,130.0,1365.0,1.48,0.26,19.6,6.4,74.0,17.4,18.0,116.0,4.2,2.267175572519084,0.0951683748169839,66.42,40.10840108401084,26.4,20.0,36.4,20.8,4.4,38.9,24.2,3.0,Always,Never,No,No,Yes,2.1,14.6,26.9,Severe,Severe,Poor,14.842857142857142
USER0031,45-54,Male,Instagram,3.0,2.01,4.0,7.0,36.0,5.0,227.0,199.0,0.89,0.77,19.2,12.3,68.4,72.0,18.0,149.0,1.6,0.1578947368421052,1.135,36.17999999999999,44.27860696517413,19.5,18.5,12.9,15.3,3.6,65.9,1.3,7.3,Always,Often,No,No,No,8.7,0.9,18.9,Severe,Severe,Poor,12.657142857142857
USER0032,13-17,Male,Twitter,2.0,6.57,29.0,80.0,75.0,41.0,114.0,43.0,2.36,0.32,23.5,23.4,58.3,51.150000000000006,18.0,61.0,4.1,0.6521739130434783,2.590909090909091,118.26,35.920852359208524,14.6,5.1,35.5,1.5,1.3,38.2,2.4,6.8,Rarely,Rarely,No,No,Yes,4.9,5.9,12.1,Moderately Severe,Mild,Good,23.61428571428571
USER0033,25-34,Male,TikTok,2.0,5.16,7.0,13.0,123.0,15.0,26.0,37.0,1.47,0.43,42.3,25.0,32.7,51.150000000000006,5.0,60.0,4.3,4.555555555555555,0.6842105263157895,25.8,28.48837209302325,9.8,4.7,17.8,14.0,1.7,50.9,38.5,8.6,Never,Always,No,No,No,8.7,8.5,11.4,Moderate,Mild,Poor,13.185714285714283
USER0034,25-34,Non-binary,YouTube,5.0,2.75,1.0,1.0,14.0,1.0,163.0,54.0,0.89,0.98,15.6,23.4,65.5,88.1,17.0,150.0,8.4,0.0853658536585365,2.963636363636364,46.75,32.36363636363637,13.2,13.2,34.3,2.8,1.4,58.9,32.9,9.8,Never,Often,Yes,Yes,No,8.9,0.2,1.3,Moderate,Moderate,Good,15.014285714285714
USER0035,35-44,Male,Twitter,5.0,2.93,1.0,1.0,9.0,0.0,464.0,13.0,0.69,0.65,24.4,25.3,50.2,59.5,14.0,101.0,5.9,0.0193548387096774,33.142857142857146,41.02,23.549488054607508,9.8,9.8,19.1,17.3,7.2,43.0,23.8,5.6,Rarely,Sometimes,No,No,No,5.7,1.2,1.0,Moderate,Moderate,Poor,16.97142857142857
USER0036,25-34,Female,TikTok,5.0,3.29,10.0,21.0,172.0,20.0,428.0,3277.0,1.12,0.47,27.4,37.5,35.0,85.0,29.0,56.0,4.4,0.4009324009324009,0.1305674191580232,95.41,34.04255319148937,5.4,4.4,21.1,6.4,2.4,78.2,20.05,3.3,Often,Rarely,No,No,No,5.7,11.1,25.5,Mild,Mild,Moderate,14.35
USER0037,45-54,Female,YouTube,5.0,1.1,3.0,6.0,73.0,9.0,597.0,87.0,0.43,0.92,25.8,25.6,48.6,43.3,16.0,74.0,7.7,0.1220735785953177,6.784090909090909,17.6,39.090909090909086,27.0,11.4,39.8,15.3,6.9,76.9,7.1,5.4,Never,Sometimes,No,No,Yes,1.9,9.0,21.3,Severe,Moderate,Poor,14.985714285714282
USER0038,25-34,Male,Instagram,4.0,3.42,3.0,7.0,27.0,1.0,240.0,15.0,1.13,0.4,46.5,29.3,24.2,55.0,27.0,161.0,2.4,0.1120331950207468,15.0,92.34,33.040935672514614,9.3,15.1,37.0,5.1,2.1,51.5,30.0,4.1,Always,Sometimes,No,No,No,9.7,7.1,13.1,Moderate,Severe,Moderate,17.02857142857143
USER0039,18-24,Female,Snapchat,2.0,7.89,2.0,10.0,53.0,6.0,24.0,286.0,1.47,0.51,40.2,22.6,37.2,69.2,23.0,135.0,7.2,2.12,0.0836236933797909,181.47,18.631178707224336,16.1,19.2,39.8,11.6,4.1,22.0,29.1,3.1,Often,Always,No,No,No,1.0,4.8,25.3,Moderately Severe,Severe,Poor,19.857142857142858
USER0040,25-34,Male,Twitter,2.0,4.4,15.0,22.0,107.0,9.0,65.0,17.0,1.26,0.65,55.6,9.9,34.5,80.4,28.0,121.0,7.3,1.621212121212121,3.611111111111111,123.20000000000002,28.636363636363637,16.8,17.5,35.6,9.3,4.2,76.7,12.6,4.0,Rarely,Always,No,Yes,No,8.1,4.1,25.5,Moderately Severe,Severe,Moderate,14.3
USER0041,45-54,Male,TikTok,2.0,2.54,2.0,10.0,19.0,2.0,55.0,26.0,0.68,0.65,29.0,31.0,40.0,40.0,14.0,116.0,9.3,0.3392857142857143,2.037037037037037,35.56,26.77165354330709,21.9,12.35,13.6,20.4,6.6,73.1,16.9,5.4,Rarely,Sometimes,No,No,No,3.3,10.5,15.8,Severe,Moderate,Poor,10.164285714285716
USER0042,18-24,Female,TikTok,4.0,6.4,32.0,78.0,195.0,10.0,101.0,429.0,2.39,0.25,11.7,15.9,72.4,16.0,21.0,52.0,9.6,1.911764705882353,0.2348837209302325,134.4,37.34375,8.6,5.4,23.7,14.9,6.4,43.4,33.7,1.3,Sometimes,Never,No,Yes,No,5.3,4.7,15.3,Mild,Mild,Poor,17.071428571428573
USER0043,13-17,Female,YouTube,4.0,7.3,11.0,17.0,112.0,10.0,24.0,2777.0,2.23,0.52,41.2,18.2,40.5,73.2,16.0,114.0,5.0,4.48,0.0086393088552915,116.8,30.54794520547945,16.7,18.2,26.3,9.1,9.7,62.4,14.9,7.1,Always,Rarely,No,No,No,4.2,9.5,24.6,Moderately Severe,Severe,Moderate,16.2
USER0044,18-24,Female,YouTube,4.0,7.83,1.0,2.0,12.0,0.0,28.0,1285.0,3.67,0.57,50.0,39.3,10.7,17.0,10.0,61.0,7.0,0.4137931034482758,0.0217729393468118,78.3,46.87100893997446,8.2,8.4,16.0,16.4,8.2,56.1,16.7,4.4,Often,Rarely,Yes,No,No,3.2,7.5,21.6,Mild,Mild,Poor,16.514285714285716
USER0045,13-17,Male,YouTube,4.0,4.7,7.0,19.0,75.0,16.0,145.5,250.0,1.47,0.97,57.2,9.9,32.8,16.0,7.0,57.0,1.2,0.5119453924914675,0.5796812749003984,32.9,31.27659574468085,10.9,4.8,10.0,12.5,2.9,61.4,34.3,5.4,Sometimes,Always,Yes,Yes,No,3.7,6.9,12.4,Moderate,Mild,Poor,11.557142857142855
USER0046,18-24,Female,Facebook,2.0,7.21,17.0,36.0,297.0,33.0,145.5,98.0,2.23,0.13,51.5,17.1,31.4,37.1,28.0,157.0,2.3,2.027303754266212,1.4696969696969695,201.88,30.929264909847436,21.1,8.6,26.1,20.9,5.0,50.2,32.1,3.4,Always,Sometimes,Yes,No,No,9.2,9.7,17.4,Severe,Mild,Poor,13.171428571428567
USER0047,45-54,Male,Twitter,4.0,2.79,8.0,20.0,99.0,10.0,132.0,21.0,0.67,0.85,59.2,23.4,17.4,76.7,18.0,166.0,5.5,0.7443609022556391,6.0,50.22,24.014336917562726,6.6,16.1,30.6,13.4,3.4,28.8,3.8,2.0,Sometimes,Rarely,No,No,No,3.7,2.9,29.4,Mild,Severe,Poor,22.52857142857143
USER0048,13-17,Male,Snapchat,5.0,6.26,22.0,58.0,620.0,31.0,247.0,1434.0,2.38,0.7,18.8,37.0,44.2,46.7,13.0,192.0,2.7,2.5,0.1721254355400696,81.38,38.019169329073485,26.7,4.4,32.6,6.1,9.2,71.3,14.2,2.6,Rarely,Often,Yes,No,No,1.3,6.2,25.1,Severe,Mild,Moderate,16.75714285714286
USER0049,13-17,Male,Twitter,5.0,4.23,4.0,6.0,29.0,2.0,9.0,44.0,1.69,0.94,46.6,12.5,40.8,78.1,26.0,191.0,2.4,2.9,0.2,109.98000000000002,39.95271867612293,14.8,6.0,38.6,5.6,8.2,22.9,39.2,2.3,Often,Often,No,Yes,No,7.2,14.2,1.6,Moderately Severe,Mild,Moderate,22.214285714285715
USER0050,25-34,Male,TikTok,3.0,2.43,0.0,0.0,0.0,0.0,42.0,6389.0,0.66,0.84,50.0,29.3,20.7,38.6,25.0,193.0,5.5,0.0,0.0065727699530516,60.75000000000001,27.160493827160494,10.7,16.8,15.2,2.3,1.4,43.8,8.5,4.4,Never,Never,No,No,Yes,6.4,3.7,18.7,Moderate,Severe,Good,17.842857142857145
USER0051,25-34,Female,Instagram,4.0,2.74,4.0,6.0,88.0,10.0,503.0,1097.0,0.75,0.54,21.1,39.6,39.4,59.1,29.0,120.0,5.3,0.1746031746031746,0.4581056466302368,79.46000000000001,27.37226277372263,24.7,13.0,32.0,9.5,5.7,68.7,26.4,9.8,Always,Always,No,No,No,3.5,6.5,17.4,Severe,Moderate,Moderate,12.87142857142857
USER0052,18-24,Female,Snapchat,5.0,7.66,3.0,5.0,69.0,6.0,552.0,1017.0,1.66,0.51,36.1,27.6,36.3,24.0,6.0,145.0,4.1,0.1247739602169981,0.5422396856581533,45.96,21.6710182767624,15.2,18.3,10.8,4.4,8.9,65.0,22.4,9.6,Always,Often,Yes,No,Yes,3.2,7.5,3.1,Moderately Severe,Severe,Good,13.185714285714289
USER0053,35-44,Male,Facebook,3.0,2.93,9.0,26.0,534.0,54.0,391.0,1507.0,0.95,0.52,59.5,5.0,35.5,74.9,29.0,83.0,7.9,1.3622448979591837,0.2592838196286472,84.97,32.42320819112628,13.5,12.35,14.8,18.1,4.5,74.0,7.8,5.5,Never,Often,No,No,No,6.6,0.5,15.0,Moderate,Moderate,Poor,12.435714285714289
USER0054,18-24,Male,Snapchat,3.0,6.4,11.0,21.0,156.0,14.0,87.0,73.0,2.28,0.76,10.2,21.4,68.5,32.5,6.0,23.0,9.9,1.7727272727272727,1.1756756756756757,38.400000000000006,35.62499999999999,24.5,15.9,36.1,14.2,1.4,27.6,4.5,5.9,Always,Sometimes,No,No,Yes,5.6,5.1,11.2,Severe,Severe,Poor,20.17142857142857
USER0055,18-24,Female,Instagram,3.0,5.96,1.0,2.0,25.0,3.0,6.0,1093.0,2.96,0.77,13.2,19.1,67.7,53.5,10.0,51.0,3.0,3.571428571428572,0.0054844606946983,59.6,49.66442953020135,19.2,18.9,26.8,14.4,6.9,38.6,15.1,3.8,Never,Sometimes,No,No,No,9.2,13.3,27.9,Severe,Severe,Poor,17.62857142857143
USER0056,18-24,Prefer not to say,Twitter,4.0,8.13,26.0,70.0,506.0,36.0,22101.0,569.0,2.91,0.33,35.8,22.2,42.0,31.8,10.0,116.0,6.3,0.0228938557596597,38.77368421052632,81.30000000000001,35.79335793357934,9.9,15.9,28.3,15.4,3.4,44.6,33.4,8.2,Rarely,Often,Yes,Yes,No,6.0,8.4,22.8,Moderate,Severe,Poor,14.985714285714286
USER0057,25-34,Male,TikTok,4.0,3.83,3.0,7.0,43.0,5.0,4.0,216.0,1.84,0.76,24.1,13.8,62.1,52.2,7.0,59.0,7.1,8.6,0.0184331797235023,26.81,48.04177545691906,23.8,7.3,26.7,17.4,8.9,34.0,37.8,5.2,Often,Sometimes,No,Yes,Yes,7.0,8.8,16.0,Severe,Mild,Poor,16.17142857142857
USER0058,13-17,Female,Instagram,5.0,3.31,14.0,38.0,75.0,28.0,6185.0,1071.0,1.2,0.88,46.7,23.2,30.1,80.0,22.0,170.0,7.3,0.0121241513094083,5.769589552238806,72.82000000000001,36.25377643504532,7.4,9.3,34.4,3.7,8.9,66.9,13.5,5.1,Sometimes,Rarely,No,No,No,4.0,10.0,25.3,Mild,Moderate,Good,20.057142857142853
USER0059,25-34,Prefer not to say,Twitter,2.0,5.01,1.0,1.0,12.0,0.0,28.0,519.0,1.77,0.11,24.4,26.6,49.1,43.3,5.0,167.0,2.2,0.4137931034482758,0.0538461538461538,25.05,35.32934131736527,8.4,9.1,30.1,15.9,8.0,48.7,25.8,2.2,Often,Never,Yes,No,No,7.5,4.9,19.8,Mild,Moderate,Poor,18.17142857142857
USER0060,18-24,Female,TikTok,2.0,6.16,22.0,52.0,492.0,33.0,692.0,827.0,1.55,0.79,57.4,10.8,31.8,40.9,20.0,28.0,8.8,0.70995670995671,0.8357487922705314,123.2,25.162337662337663,20.1,12.3,32.5,0.6,3.3,49.3,35.0,7.4,Never,Often,Yes,No,Yes,6.8,6.7,17.6,Severe,Moderate,Good,15.828571428571427
USER0061,55+,Female,Snapchat,4.0,1.17,2.0,4.0,5.0,0.0,2358.0,1892.0,0.32,0.1,17.9,21.4,60.7,27.3,18.0,144.0,3.0,0.0021195421788893,1.2456418383518224,21.06,27.350427350427356,26.5,10.2,19.2,3.2,2.3,53.9,34.9,3.8,Often,Always,No,No,Yes,4.6,8.9,1.6,Severe,Moderate,Good,12.014285714285714
USER0062,13-17,Female,YouTube,5.0,4.279999999999999,1.0,2.0,11.0,1.0,3.0,88.0,1.23,0.75,47.3,12.0,40.7,79.8,16.0,194.0,2.7,2.75,0.0337078651685393,68.47999999999999,28.73831775700935,24.5,5.0,11.4,4.5,5.5,25.1,9.3,1.9,Sometimes,Often,Yes,No,No,4.0,3.9,29.9,Severe,Mild,Good,20.428571428571427
USER0063,45-54,Female,Snapchat,5.0,4.279999999999999,1.0,2.0,12.0,0.0,155.0,182.0,0.26,0.64,40.4,13.7,46.0,19.8,19.0,68.0,8.2,0.0769230769230769,0.8469945355191257,81.32,6.074766355140189,21.9,17.8,10.8,1.3,7.4,45.5,7.4,2.6,Never,Always,Yes,No,No,1.5,4.1,20.1,Severe,Severe,Good,17.24285714285714
USER0064,18-24,Male,Snapchat,5.0,4.75,5.0,14.0,23.0,2.0,1686.0,930.0,2.31,0.92,46.2,31.2,22.6,25.7,17.0,131.0,7.3,0.0136336692353289,1.8109559613319013,80.75,48.63157894736842,13.6,15.7,32.8,0.7,4.4,53.1,10.1,5.5,Always,Rarely,Yes,No,Yes,9.8,7.4,22.6,Moderate,Severe,Good,19.62857142857143
USER0065,25-34,Male,TikTok,2.0,3.31,4.0,11.0,54.0,3.0,145.5,40.0,1.22,0.72,50.0,12.0,38.0,24.3,27.0,127.0,6.5,0.3686006825938566,3.548780487804878,89.37,36.85800604229607,20.4,11.8,17.2,10.7,7.1,66.6,8.5,3.7,Rarely,Always,Yes,No,No,1.6,12.5,17.5,Severe,Moderate,Poor,14.62857142857143
USER0066,25-34,Male,Instagram,4.0,4.84,19.0,10.0,252.0,32.0,1210.0,93.0,1.08,0.91,37.4,33.6,29.0,27.3,15.0,150.0,6.3,0.2080924855491329,12.872340425531917,72.6,22.314049586776864,6.2,11.1,23.0,3.1,4.8,62.0,0.2,2.0,Rarely,Never,No,No,Yes,8.1,12.8,7.1,Mild,Moderate,Good,19.857142857142858
USER0068,55+,Female,TikTok,3.0,1.61,1.0,2.0,22.0,1.0,232.0,1611.0,1.47,0.75,34.3,35.6,30.1,89.4,12.0,84.0,4.5,0.0944206008583691,0.1439205955334987,19.32,91.30434782608695,5.3,10.6,15.4,18.0,7.8,49.3,10.2,5.3,Never,Sometimes,No,No,Yes,7.4,11.1,17.2,Mild,Moderate,Poor,18.085714285714285
USER0069,25-34,Male,Snapchat,3.0,4.93,1.0,1.0,23.0,1.0,249.0,233.0,1.35,0.88,32.3,23.0,44.7,63.9,12.0,91.0,8.7,0.092,1.064102564102564,59.16,27.38336713995944,9.7,12.7,25.1,10.0,5.1,31.0,3.9,3.2,Sometimes,Rarely,Yes,Yes,Yes,5.25,12.3,10.5,Moderate,Moderate,Moderate,22.428571428571427
USER0070,13-17,Female,Instagram,2.0,6.87,1.0,1.0,36.0,3.0,173.0,24.0,2.07,0.85,31.5,13.7,54.8,41.9,14.0,128.0,4.2,0.2068965517241379,6.92,96.18,30.131004366812224,11.7,18.2,28.7,6.2,7.4,79.6,12.1,9.4,Never,Sometimes,Yes,No,No,8.0,0.9,19.2,Moderate,Severe,Moderate,14.957142857142856
